Sr No,CollegeName,Location,Phones,Fax,Websites,AffiliatedTo
1,College of Engineering Kopargaon,Ahmednagar ," +91-2426-222862, 223362,22394", +91-2426-222682, http://www.coekpg.org,PuneUniversity
2,College of Engineering Ahmednagar,Ahmednagar , +91-2426-2777296 2779496, +91-2426-2777533, http://www.enggnagar.com,PuneUniversity
3,Amrutvahini College of Engineering,Ahmednagar , +91-2426-259014/15/17/18, +91-2426-259016, http://www.avcoe.org,PuneUniversity
4,SRES College of Engineering,Ahmednagar ," +91-241-222862, 223362,22394", +91-241-222682, http://www.coekpg.org,PuneUniversity
5,Pravara Rural Engineering College,Ahmednagar ," +91-241-273204, 273539", +91-241-273537, http://www.pravaraengg.org.in,PuneUniversity
6,College of Engineering & Technology Akola,Akola ," +91-724-2259024, 225069", +91-724-2259024, http://www.coeta.org,SantGadgeBabaAmravatiUniversity
7,College of Agricultural Engineering and Technology Akola,Akola ," +91-724-58365, 58184, 58024",,,DrPanjabraoDeshmukhKrishiVidyapeeth
8,College of Engineering and Technology,Akola , +91-724-435070,,,SantGadgeBabaAmravatiUniversity
9,Sipnas College of Engineering & Technology,Amravati , +91-721-2522342 / 2522343, +91-721-2522341, http://www.sipnaengg.ac.in,SantGadgeBabaAmravatiUniversity
10,Government College of Engineering Amravati,Amravati , +91-721-2660360, +91-721-2660488, http://www.gcoea.ac.in,SantGadgeBabaAmravatiUniversity
11,Prof. Ram Meghe Institute of Technology & Research,Amravati ," +91-721-2681246, 2681159", +91-721-681337, http://www.coebadnera.com,SantGadgeBabaAmravatiUniversity
12,Deogiri Institute of Engineering & Management Studies,Aurangabad , +91--2364217/19, +91--2364219, http://www.dietms.org,Dr.BabasahebAmbedkarMarathwadaUniversity
13,Jawaharlal Nehru Engineering College,Aurangabad , +91--2482893 /2484693/248, +91--2482235 / 2484445, http://www.jnec.org,Dr.BabasahebAmbedkarMarathwadaUniversity
14,Marathwada Institute of Technology Aurangabad,Aurangabad ," +91--2377284, 2376496, 23", +91--2376154, http://www.pescoe.org,Dr.BabasahebAmbedkarMarathwadaUniversity
15,PES College of Engineering,Aurangabad ," +91--2400031, 2400025", +91-240 -2332835, http://www.geca.ac.in,Dr.BabasahebAmbedkarMarathwadaUniversity
16,Government College of Engineering Aurangabad,Aurangabad ," +91-240 -2332635, 2326405",,,Dr.BabasahebAmbedkarMarathwadaUniversity
17,Aditya Engineering College,Aurangabad ," +91-2442-227038, 221812", +91-2442-225901, http://www.adityaeducation.org.in,Dr.BabasahebAmbedkarMarathwadaUniversity
18,College of Engineering Ambajogai,Aurangabad , +91-2446-247262, +91-2446-248882, http://www.coea.ac.in,Dr.BabasahebAmbedkarMarathwadaUniversity
19,Nagnathappa Halge College of Engineering,Aurangabad , +91-2446-224334, +91-2446-224334, http://www.nhce.org.in,Dr.BabasahebAmbedkarMarathwadaUniversity
20,College of Engineering Navalnagar,Dhule ," +91-2562-260238, 260245", +91-2562-260295, http://www.sesnavalnagar.org,NorthMaharashtraUniversity
21,Gangamai College of Engineering,Dhule , +91-2562-274908, +91-2562-288170,,NorthMaharashtraUniversity
22,Poojya Sane Guruji V.P. Mandal's College of Engineering,Dhule ," +91-2562-272976, 272713, 2722", +91-2562-272247,,NorthMaharashtraUniversity
23,Bapusaheb Shivajirao Deore College of Engineering,Dhule ,,,,NorthMaharashtraUniversity
24,College of Engineering & Technology Jalgaon,Jalgaon , +91-257-2258393 / 2258391, +91-257-2258392, http://www.sscoetjalgaon.ac.in,NorthMaharashtraUniversity
25,Government College of Engineering Jalgaon,Jalgaon , +91-257-2281522, +91-257-2281319, http://www.govtcoejal.ac.in,NorthMaharashtraUniversity
26,Godavari College of Engineering,Jalgaon , +91-257-2213500, +91-257-2212998, http://www.engg.godavarifoundation.org,NorthMaharashtraUniversity
27,College of Engineering & Information Technology Jalgaon,Jalgaon ," +91-257-2242025, 2242052", +91-257-2242026, http://coeit.kces.in,NorthMaharashtraUniversity
